code,family,series,wave_assignment,target_archetype,recommended_action,priority,canonical_status,path,reason
ANNEX-113,ANNEX,ANNEX-100,Wave 5,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-113-dashboard-deployment-access-and-refresh-control.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-114,ANNEX,ANNEX-100,Wave 5,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-114-go-live-runbook-and-cutover-control.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-115,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-115-epicor-transaction-and-interface-map.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-116,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-116-m365-folder-structure-blueprint.html,Canonical subfolder relocation completed; keep as the controlled M365 folder-structure blueprint annex.
ANNEX-117,ANNEX,ANNEX-100,Wave 5,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-117-escalation-matrix-and-sla.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
ANNEX-118,ANNEX,ANNEX-100,Wave 5,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/11-ANNEX-110-Digital-Control-and-Resilience/annex-118-offline-fallback-kit.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-119,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-119-change-roadmap-and-priority-register.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-120,ANNEX,ANNEX-100,Wave 5,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-120-authority-matrix.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
ANNEX-121,ANNEX,ANNEX-100,Wave 5,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-121-raci-master-matrix.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
ANNEX-122,ANNEX,ANNEX-100,Wave 5,Dictionary Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-122-kpi-cascade-dictionary.html,KPI cascade dictionary remains the canonical lookup source after link and evidence-reference cleanup.
ANNEX-123,ANNEX,ANNEX-100,Wave 5,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-123-deputy-backup-matrix.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
ANNEX-124,ANNEX,ANNEX-100,Wave 5,Worked Example Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/12-ANNEX-120-Authority-KPI-and-Deputy-Control/annex-124-dashboard-evidence-pack-worked-examples.html,Baseline review required; dominant structure fits Worked Example Annex and should stay as an ANNEX lookup/control support document.
ANNEX-131,ANNEX,ANNEX-100,Wave 5,Dictionary Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-131-m365-records-metadata-list-schema-and-register-catalog.html,Baseline review required; dominant structure fits Dictionary Annex and should stay as an ANNEX lookup/control support document.
ANNEX-132,ANNEX,ANNEX-100,Wave 5,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-132-m365-records-flow-approval-sharing-and-exception-control.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-133,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-133-m365-records-site-topology-library-and-folder-blueprint.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-134,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-134-m365-records-provisioning-permissions-and-automation-architecture.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-135,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-135-m365-operational-records-file-plan-by-department-role-and-job.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-136,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-136-m365-sharepoint-git-server-source-sync-promotion-and-runtime-boundary.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-137,ANNEX,ANNEX-100,Wave 5,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-137-evidence-and-records-naming-convention.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-138,ANNEX,ANNEX-100,Wave 5,Map/Topology Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/01-ANNEX-100/13-ANNEX-130-M365-Records-Control/annex-138-sharepoint-local-sync-and-git-workspace-boundary.html,Baseline review required; dominant structure fits Map/Topology Annex and should stay as an ANNEX lookup/control support document.
ANNEX-301,ANNEX,ANNEX-300,Wave 4,Dictionary Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-300/annex-301-setup-sheet-and-tool-list-standard.html,Baseline review required; dominant structure fits Dictionary Annex and should stay as an ANNEX lookup/control support document.
ANNEX-302,ANNEX,ANNEX-300,Wave 4,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-300/annex-302-approved-materials-list.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-401,ANNEX,ANNEX-400,Wave 4,Method Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/04-ANNEX-400/annex-401-supplier-risk-model-and-scorecard-method.html,Baseline review required; dominant structure fits Method Annex and should stay as an ANNEX lookup/control support document.
ANNEX-402,ANNEX,ANNEX-400,Wave 4,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/04-ANNEX-400/annex-402-outsource-special-process-pack.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-403,ANNEX,ANNEX-400,Wave 4,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/04-ANNEX-400/annex-403-approved-processor-list.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-501,ANNEX,ANNEX-500,Wave 2,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-501-dispatch-capacity-wip-rules.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-502,ANNEX,ANNEX-500,Wave 2,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-502-gate-mrr-and-execution-synchronization-pack.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-503,ANNEX,ANNEX-500,Wave 2,Map/Topology Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-503-cnc-operating-model-and-role-boundary.html,Pilot rewrite completed; keep as the canonical CNC operating-model and role-boundary annex.
ANNEX-504,ANNEX,ANNEX-500,Wave 2,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-504-tier-meeting-cadence-and-escalation-standard-work.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-505,ANNEX,ANNEX-500,Wave 2,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-505-put-thru-index.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-506,ANNEX,ANNEX-500,Wave 2,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-506-fod-prevention-program.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-507,ANNEX,ANNEX-500,Wave 2,Worked Example Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/05-ANNEX-500/annex-507-poka-yoke-cnc-examples.html,Baseline review required; dominant structure fits Worked Example Annex and should stay as an ANNEX lookup/control support document.
ANNEX-601,ANNEX,ANNEX-600,Wave 3,Method Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-601-aql-method-reference.html,Method boundary tightened; keep AQL logic and decision rules here while WI-603 owns execution steps.
ANNEX-602,ANNEX,ANNEX-600,Wave 3,Specification Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-602-msa-acceptance-criteria.html,Baseline review required; dominant structure fits Specification Annex and should stay as an ANNEX lookup/control support document.
ANNEX-603,ANNEX,ANNEX-600,Wave 3,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-603-quality-package-levels-qpl.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-604,ANNEX,ANNEX-600,Wave 3,Method Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-604-control-plan-guide.html,Baseline review required; dominant structure fits Method Annex and should stay as an ANNEX lookup/control support document.
ANNEX-605,ANNEX,ANNEX-600,Wave 3,Method Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-605-spc-lite-and-reaction-plan.html,Baseline review required; dominant structure fits Method Annex and should stay as an ANNEX lookup/control support document.
ANNEX-606,ANNEX,ANNEX-600,Wave 3,Specification Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-606-surface-finish-vacuum-compatibility.html,Baseline review required; dominant structure fits Specification Annex and should stay as an ANNEX lookup/control support document.
ANNEX-607,ANNEX,ANNEX-600,Wave 3,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-607-quality-culture-and-ethics-rules.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-608,ANNEX,ANNEX-600,Wave 3,Specification Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/06-ANNEX-600/annex-608-semi-standards-and-csr-matrix.html,"Wave 1 rewrite completed; keep as the canonical specification annex for semiconductor, vacuum and CSR source control."
ANNEX-701,ANNEX,ANNEX-700,Wave 1,Dictionary Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/07-ANNEX-700/annex-701-gs1-sscc-data-dictionary-and-pack-reconciliation.html,Dictionary/specification boundary tightened; keep data states and transition rules here while WI owns ship-floor execution.
ANNEX-702,ANNEX,ANNEX-700,Wave 1,Specification Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/07-ANNEX-700/annex-702-packaging-labeling-spec.html,"Wave 1 specification tightening completed; keep as the canonical source for packaging, labeling, evidence and preservation requirements."
ANNEX-703,ANNEX,ANNEX-700,Wave 1,Rule-Pack Annex,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/07-ANNEX-700/annex-703-warehouse-location-fifo-rules.html,"Wave 1 rule-pack tightening completed; keep as the canonical zoning, FIFO/FEFO, overflow and cycle-count rule annex."
ANNEX-801,ANNEX,ANNEX-800,Wave 6,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/08-ANNEX-800/annex-801-competency-levels-and-certification-rules.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
ANNEX-802,ANNEX,ANNEX-800,Wave 6,Rule-Pack Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/08-ANNEX-800/annex-802-collective-bargaining-agreement.html,Baseline review required; dominant structure fits Rule-Pack Annex and should stay as an ANNEX lookup/control support document.
ANNEX-803,ANNEX,ANNEX-800,Wave 6,Matrix Annex,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/03-Reference/08-ANNEX-800/annex-803-ppe-and-hazard-matrix.html,Baseline review required; dominant structure fits Matrix Annex and should stay as an ANNEX lookup/control support document.
WI-101,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-101-digital-online-forms-and-approvals.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-102,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-102-sharepoint-record-sites-libraries-and-permissions-click-by-click.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-103,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-103-m365-folder-routing-training-competence-and-adoption-for-cnc-job-orders.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-104,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-104-m365-folder-routing-quick-cards-by-role-for-cnc-job-order.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-105,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-105-qms-document-navigation-role-based-reading-path-and-deployment.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-106,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-106-job-order-deployment-master-plan.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-107,WI,WI-100,Wave 5,Digital-Operation WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/01-WI-100/wi-107-sharefile-git-cpanel-sync.html,Baseline review required; current dominant use fits Digital-Operation WI and should stay inside the locked WI boundary.
WI-201,WI,WI-200,Wave 4,Gate-Execution WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-201-quality-gates-hold-points-and-release-execution.html,Pilot rewrite completed; keep as the canonical gate-execution WI while gate architecture stays in SOP/ANNEX.
WI-202,WI,WI-200,Wave 4,Control-Tower WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-202-daily-management-tier-meetings-kpi-and-escalation.html,Baseline review required; current dominant use fits Control-Tower WI and should stay inside the locked WI boundary.
WI-203,WI,WI-200,Wave 4,Gate-Execution WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-203-job-dossier-evidence-pack-and-record-completeness.html,Baseline review required; current dominant use fits Gate-Execution WI and should stay inside the locked WI boundary.
WI-205,WI,WI-200,Wave 4,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-205-barcode-labeling-and-scan-to-action.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-206,WI,WI-200,Wave 4,Gate-Execution WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-206-ship-release-pack-sscc-label-and-pack-reconciliation.html,Baseline review required; current dominant use fits Gate-Execution WI and should stay inside the locked WI boundary.
WI-207,WI,WI-200,Wave 4,Control-Tower WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/02-WI-200/wi-207-high-risk-job-readiness-control-tower.html,Baseline review required; current dominant use fits Control-Tower WI and should stay inside the locked WI boundary.
WI-302,WI,WI-300,Wave 4,Gate-Execution WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/03-WI-300/wi-302-first-piece-fai-execution-and-evidence-pack.html,Baseline review required; current dominant use fits Gate-Execution WI and should stay inside the locked WI boundary.
WI-501,WI,WI-500,Wave 2,Control-Tower WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-501-dispatch-capacity-and-wip-control.html,Baseline review required; current dominant use fits Control-Tower WI and should stay inside the locked WI boundary.
WI-511,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-511-machine-type-quick-reference.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-512,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-512-3-axis-vertical-milling-guide.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-513,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-513-5-axis-milling-guide.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-514,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-514-cnc-turning-guide.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-515,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-515-mill-turn-guide.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-516,WI,WI-500,Wave 2,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-516-machine-operation-quick-card.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-517,WI,WI-500,Wave 2,POU-WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-517-setup-changeover-smed-standard-work.html,Pilot rewrite completed; keep as the canonical point-of-use setup and changeover WI.
WI-518,WI,WI-500,Wave 2,Gate-Execution WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-518-work-transfer-validation.html,Baseline review required; current dominant use fits Gate-Execution WI and should stay inside the locked WI boundary.
WI-519,WI,WI-500,Wave 2,Gate-Execution WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/wi-519-job-packet-quick-check-and-pre-run-verification.html,Pilot rewrite completed; keep as the canonical pre-run gate-execution WI.
WI-601,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-601-visual-inspection-and-defect-classification.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-602,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-602-gage-pre-use-verification-and-status-control.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-603,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-603-aql-sampling-inspection-execution.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-604,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-604-spc-chart-use-process-capability-and-reaction.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-605,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-605-final-inspection-coc-and-shipment-release-handoff.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-606,WI,WI-600,Wave 3,POU-WI,KEEP,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/06-WI-600/wi-606-suspect-product-containment-segregation-and-reaction.html,Baseline review required; current dominant use fits POU-WI and should stay inside the locked WI boundary.
WI-701,WI,WI-700,Wave 1,POU-WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-701-receiving-iqc-traceability-and-put-away.html,Wave 1 rewrite completed; keep as the canonical point-of-use receiving WI and monitor linked ANNEX-700 controls.
WI-702,WI,WI-700,Wave 1,POU-WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-702-storage-environment-location-and-fifo-control.html,"Wave 1 structure and boundary pass completed; keep as the canonical storage and preservation WI while ANNEX-703 owns zoning, FIFO and cycle-count rules."
WI-711,WI,WI-700,Wave 1,POU-WI,KEEP_CANONICAL,P2,CANONICAL,03-Tai-Lieu-Van-Hanh/02-Work-Instructions/07-WI-700/wi-711-cleanroom-entry-and-gowning.html,Wave 1 rewrite completed; keep as the canonical cleanroom-entry and gowning WI linked to WI-713 environment control and SOP-702 cleanliness governance.
